State,Total,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
Alabama,9,D,R,R,R,R,R,R,R,R,R
Alaska,3,R,R,R,R,R,R,R,R,R,R
Arizona,11,R,R,R,R,R,D,R,R,R,R
Arkansas,6,D,R,R,R,D,D,R,R,R,R
California,55,R,R,R,R,D,D,D,D,D,D
Colorado,9,R,R,R,R,D,R,R,R,D,D
Connecticut,7,R,R,R,R,D,D,D,D,D,D
Delaware,3,D,R,R,R,D,D,D,D,D,D
DC,3,D,D,D,D,D,D,D,D,D,D
Florida,29,D,R,R,R,R,D,R,R,D,D
Georgia,16,D,D,R,R,D,R,R,R,R,R
Hawaii,4,D,D,R,D,D,D,D,D,D,D
Idaho,4,R,R,R,R,R,R,R,R,R,R
Illinois,20,R,R,R,R,D,D,D,D,D,D
Indiana,11,R,R,R,R,R,R,R,R,D,R
Iowa,6,R,R,R,D,D,D,D,R,D,D
Kansas,6,R,R,R,R,R,R,R,R,R,R
Kentucky,8,D,R,R,R,D,D,R,R,R,R
Louisiana,8,D,R,R,R,D,D,R,R,R,R
Maine,4,R,R,R,R,D,D,D,D,D,D
Maryland,10,D,D,R,R,D,D,D,D,D,D
Massachusetts,11,D,R,R,D,D,D,D,D,D,D
Michigan,16,R,R,R,R,D,D,D,D,D,D
Minnesota,10,D,D,D,D,D,D,D,D,D,D
Mississippi,6,D,R,R,R,R,R,R,R,R,R
Missouri,10,D,R,R,R,D,D,R,R,R,R
Montana,3,R,R,R,R,D,R,R,R,R,R
Nebraska,5,R,R,R,R,R,R,R,R,R,R
Nevada,6,R,R,R,R,D,D,R,R,D,D
New Hampshire,4,R,R,R,R,D,D,R,D,D,D
New Jersey,14,R,R,R,R,D,D,D,D,D,D
New Mexico,5,R,R,R,R,D,D,D,R,D,D
New York,29,D,R,R,D,D,D,D,D,D,D
North Carolina,15,D,R,R,R,R,R,R,R,D,R
North Dakota,3,R,R,R,R,R,R,R,R,R,R
Ohio,18,D,R,R,R,D,D,R,R,D,D
Oklahoma,7,R,R,R,R,R,R,R,R,R,R
Oregon,7,R,R,R,D,D,D,D,D,D,D
Pennsylvania,20,D,R,R,R,D,D,D,D,D,D
Rhode Island,4,D,D,R,D,D,D,D,D,D,D
South Carolina,9,D,R,R,R,R,R,R,R,R,R
South Dakota,3,R,R,R,R,R,R,R,R,R,R
Tennessee,11,D,R,R,R,D,D,R,R,R,R
Texas,38,D,R,R,R,R,R,R,R,R,R
Utah,6,R,R,R,R,R,R,R,R,R,R
Vermont,3,R,R,R,R,D,D,D,D,D,D
Virginia,13,R,R,R,R,R,R,R,R,D,D
Washington,12,R,R,R,D,D,D,D,D,D,D
West Virginia,5,D,D,R,D,D,D,R,R,R,R
Wisconsin,10,D,R,R,D,D,D,D,D,D,D
Wyoming,3,R,R,R,R,R,R,R,R,R,R
Total,538,D,R,R,R,D,D,R,R,D,D
